mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dense_units,param_dropout_rate,param_embed_dim,param_lstm_units,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
98.24438246091206,9.289113021710822,3.1657336552937827,0.09554002673073005,64,0.2,32,64,"{'dense_units': 64, 'dropout_rate': 0.2, 'embed_dim': 32, 'lstm_units': 64}",0.858959972858429,0.854960024356842,0.8593599796295166,0.8577599922815958,0.0019865995467912285,9
119.32926058769226,6.060826355615245,4.7374052206675215,0.7641469906797954,64,0.2,32,128,"{'dense_units': 64, 'dropout_rate': 0.2, 'embed_dim': 32, 'lstm_units': 128}",0.8542400002479553,0.8612800240516663,0.8569599986076355,0.8574933409690857,0.0028987151573403582,10
127.42271757125854,5.6336065205468575,3.6763037840525308,0.1018722899583105,64,0.2,64,64,"{'dense_units': 64, 'dropout_rate': 0.2, 'embed_dim': 64, 'lstm_units': 64}",0.85944002866745,0.860480010509491,0.8579999804496765,0.8593066732088724,0.0010168497211633998,4
159.52339951197305,9.622981529419553,5.947628100713094,2.5223294204772735,64,0.2,64,128,"{'dense_units': 64, 'dropout_rate': 0.2, 'embed_dim': 64, 'lstm_units': 128}",0.8438400030136108,0.6126400232315063,0.8543199896812439,0.7702666719754537,0.11154095757709888,16
92.28747073809306,7.130900002372283,3.3968778451283774,0.5856469171108737,64,0.5,32,64,"{'dense_units': 64, 'dropout_rate': 0.5, 'embed_dim': 32, 'lstm_units': 64}",0.861519992351532,0.8610399961471558,0.8587999939918518,0.8604533274968466,0.0011853924380017121,1
121.16731731096904,4.221696282269309,4.450454950332642,0.2496564911935614,64,0.5,32,128,"{'dense_units': 64, 'dropout_rate': 0.5, 'embed_dim': 32, 'lstm_units': 128}",0.8572800159454346,0.8564800024032593,0.8631200194358826,0.8589600125948588,0.002959645035578799,5
135.40804982185364,3.522750439108657,3.440284331639608,0.21301823762068106,64,0.5,64,64,"{'dense_units': 64, 'dropout_rate': 0.5, 'embed_dim': 64, 'lstm_units': 64}",0.865119993686676,0.8445600271224976,0.8598399758338928,0.8565066655476888,0.008718228963045162,12
161.42824816703796,5.432921144589945,4.506693998972575,0.33537897658563587,64,0.5,64,128,"{'dense_units': 64, 'dropout_rate': 0.5, 'embed_dim': 64, 'lstm_units': 128}",0.8601599931716919,0.8543199896812439,0.8600000143051147,0.8581599990526835,0.0027160820175387295,8
100.15749684969585,2.1770221386944395,3.696211894353231,0.05047678091020658,128,0.2,32,64,"{'dense_units': 128, 'dropout_rate': 0.2, 'embed_dim': 32, 'lstm_units': 64}",0.8636800050735474,0.8507199883460999,0.8555200099945068,0.8566400011380514,0.005349846945794707,11
118.11173470815022,3.3633044129822336,4.380357424418132,0.29624689625073747,128,0.2,32,128,"{'dense_units': 128, 'dropout_rate': 0.2, 'embed_dim': 32, 'lstm_units': 128}",0.8528800010681152,0.859279990196228,0.8633599877357483,0.8585066596666971,0.004313240098376934,7
127.28448820114136,2.849922490793287,2.915552854537964,0.32869691755003233,128,0.2,64,64,"{'dense_units': 128, 'dropout_rate': 0.2, 'embed_dim': 64, 'lstm_units': 64}",0.8569599986076355,0.8553599715232849,0.8457599878311157,0.8526933193206787,0.004945930032244569,13
151.59313996632895,1.0286473694502931,4.002759536107381,0.04375235418551255,128,0.2,64,128,"{'dense_units': 128, 'dropout_rate': 0.2, 'embed_dim': 64, 'lstm_units': 128}",0.8535199761390686,0.8504800200462341,0.8529599905014038,0.8523199955622355,0.0013209916485254882,14
86.12530541419983,0.4017241495378017,2.9294321537017822,0.2373009821132636,128,0.5,32,64,"{'dense_units': 128, 'dropout_rate': 0.5, 'embed_dim': 32, 'lstm_units': 64}",0.8687199950218201,0.8570399880409241,0.8551999926567078,0.860319991906484,0.00598701010559397,2
112.78994687398274,0.2817076149019805,4.065622488657634,0.2528425339013351,128,0.5,32,128,"{'dense_units': 128, 'dropout_rate': 0.5, 'embed_dim': 32, 'lstm_units': 128}",0.8628000020980835,0.854960024356842,0.858959972858429,0.8589066664377848,0.003200879454842766,6
124.31865318616231,0.7294841893672945,3.0017964839935303,0.2429751321547741,128,0.5,64,64,"{'dense_units': 128, 'dropout_rate': 0.5, 'embed_dim': 64, 'lstm_units': 64}",0.8621600270271301,0.8568000197410583,0.860319972038269,0.8597600062688192,0.002223749202570938,3
151.25475239753723,0.46376752220178735,4.069400787353516,0.08480411872980895,128,0.5,64,128,"{'dense_units': 128, 'dropout_rate': 0.5, 'embed_dim': 64, 'lstm_units': 128}",0.6696799993515015,0.854640007019043,0.8593599796295166,0.7945599953333536,0.08832451370818663,15
